Version Number,1,,,,,,,
Block Format,1,,,,,,,
Number of Teams,34,,,,,,,
1553,Oakcliff ES,1,,,,,,
5924,Chestnut ES,2,,,,,,
8433,Idlewood ES,3,,,,,,
8435,Oakcliff ES,4,,,,,,
8437,Smoke Rise ES,5,,,,,,
8440,Smoke Rise ES,6,,,,,,
8442,Sequoyah MS,7,,,,,,
8445,Hightower ES,8,,,,,,
8449,DESA,9,,,,,,
8452,Rainbow ES,10,,,,,,
8454,Murphy Candler ES,11,,,,,,
8456,Chamblee MS,12,,,,,,
8458,Redan ES,13,,,,,,
8462,Cary Reynolds ES,14,,,,,,
8463,Narvie Harris MS,15,,,,,,
8474,Druid Hills MS,16,,,,,,
8483,Midvale ES,17,,,,,,
8485,Princeton ES,18,,,,,,
8496,Chamblee MS,19,,,,,,
8526,Tucker MS,20,,,,,,
8527,Tucker MS,21,,,,,,
8529,Henderson Mill ES,22,,,,,,
8547,Henderson MS,23,,,,,,
9112,Canby Lane ES,24,,,,,,
9115,Wynbrooke ES,25,,,,,,
9122,Wadsworth ES,26,,,,,,
9242,Austin ES,27,,,,,,
9245,Clifton ES,28,,,,,,
9325,Browns Mill ES,29,,,,,,
9407,Bethune MS,30,,,,,,
9892,Bouie MS,31,,,,,,
10657,Rainbow ES,32,,,,,,
12793,Fernbank SEMAA,33,,,,,,
12796,Fernbank SEMAA,34,,,,,,
Block Format,2,,,,,,,
Number of Ranking Matches,18,,,,,,,
Number of Tables,3,,,,,,,
Number of Teams Per Table,2,,,,,,,
Number of Simultaneous Tables,3,,,,,,,
Table Names,Endeavour,Discovery,Atlantis,Enterprise,Columbia,Challenger,,
1,9:15:00 AM,9:19:00 AM,1553,5924,8433,8435,8437,8440
2,9:24:00 AM,9:28:00 AM,8442,8445,8449,8452,8454,8456
3,9:33:00 AM,9:37:00 AM,8458,8462,8463,8474,8483,8485
4,9:42:00 AM,9:46:00 AM,8496,8526,8527,8529,8547,9112
5,9:51:00 AM,9:55:00 AM,9115,9122,9242,9245,9325,9407
6,10:00:00 AM,10:04:00 AM,9892,10657,12793,12796,,
7,2:15:00 PM,2:19:00 PM,5924,8433,8435,8437,8440,1553
8,2:24:00 PM,2:28:00 PM,8445,8449,8452,8454,8456,8442
9,2:33:00 PM,2:37:00 PM,8462,8463,8474,8483,8485,8458
10,2:42:00 PM,2:46:00 PM,8526,8527,8529,8547,9112,8496
11,2:51:00 PM,2:55:00 PM,9122,9242,9245,9325,9407,9115
12,3:00:00 PM,3:04:00 PM,10657,12793,,,12796,9892
13,3:30:00 PM,3:34:00 PM,8433,8440,8437,1553,8435,5924
14,3:39:00 PM,3:43:00 PM,8449,8456,8454,8442,8452,8445
15,3:48:00 PM,3:52:00 PM,8463,8485,8483,8458,8474,8462
16,3:57:00 PM,4:01:00 PM,8527,9112,8547,8496,8529,8526
17,4:06:00 PM,4:10:00 PM,9242,9407,9325,9115,9245,9122
18,4:15:00 PM,4:19:00 PM,,,9892,12793,10657,12796
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
